,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
519,SDRW2100001701.1.1.260.wav,리뷰가,리뷰,2560,10880,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001701.1.1.260.wav,166,488,525,R,cute!,ㅣ,0.897
876,SDRW2200000284.1.1.318.wav,리뷰가,리뷰,2240,11840,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000284.1.1.318.wav,131,447,533,R,cute!,ㅣ,0.786
505,SDRW2100001510.1.1.94.wav,리뷰나,리뷰,13120,24640,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001510.1.1.94.wav,515,858,916,R,cute!,ㅣ,0.855
874,SDRW2200000284.1.1.289.wav,리뷰도,리뷰,0,7040,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000284.1.1.289.wav,0,195,270,R,cute!,ㅣ,0.722
981,SDRW2200000677.1.1.27.wav,리뷰도,리뷰,6080,14720,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000677.1.1.27.wav,558,630,680,R,cute!,ㅣ,0.59
982,SDRW2200000677.1.1.32.wav,리뷰도,리뷰,3840,9920,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000677.1.1.32.wav,358,425,463,R,cute!,ㅣ,0.638
206,SDRW2100000004.1.1.65.wav,리뷰를,리뷰,13760,20800,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000004.1.1.65.wav,545,686,1225,R,cute!,ㅣ,0.207
406,SDRW2100001070.1.1.66.wav,리뷰를,리뷰,0,6400,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001070.1.1.66.wav,0,152,226,R,cute!,ㅣ,0.673
408,SDRW2100001070.1.1.99.wav,리뷰를,리뷰,0,6400,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001070.1.1.99.wav,0,156,181,R,cute!,ㅣ,0.862
521,SDRW2100001751.1.1.345.wav,리뷰를,리뷰,4160,13120,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001751.1.1.345.wav,360,591,680,R,cute!,ㅣ,0.722
